0.032289, 0.05101, 0.042154, 	0.375, 1, 		0.2266, -0.9266, 0.3001, 
-0.009291, 0.057162, 0.067416, 	0.25, 1, 		-0.052, -0.9266, 0.3725, 
-0.007196, 0.05101, 0.052404, 	0.25, 1, 		-0.052, -0.9266, 0.3725, 
0.052961, 0.036399, 0.006986, 	0.5, 1, 		0.8621, 0, 0.5067, 
0.032289, 0.05101, 0.042154, 	0.375, 1, 		0.8621, 0, 0.5067, 
0.032289, 0.036399, 0.042154, 	0.375, 1, 		0.8621, 0, 0.5067, 

0.007543, 0.036399, -0.05317, 	0.75, 1, 		0.5067, 0, -0.8621, 
0.04271, 0.05101, -0.032498, 	0.625, 1, 		0.5067, 0, -0.8621, 
0.04271, 0.036399, -0.032498, 	0.625, 1, 		0.5067, 0, -0.8621, 
-0.052614, 0.036399, -0.007752, 	1, 1, 		-0.8621, 0, -0.5067, 
-0.031942, 0.05101, -0.04292, 	0.875, 1, 		-0.8621, 0, -0.5067, 
-0.031942, 0.036399, -0.04292, 	0.875, 1, 		-0.8621, 0, -0.5067, 

-0.042363, 0.036399, 0.031732, 	0.125, 1, 		-0.9679, 0, 0.2513, 
-0.052614, 0.05101, -0.007752, 	0, 1, 		-0.9679, 0, 0.2513, 
-0.052614, 0.036399, -0.007752, 	0, 1, 		-0.9679, 0, 0.2513, 
0.032289, 0.036399, 0.042154, 	0.375, 1, 		0.2513, 0, 0.9679, 
-0.007196, 0.05101, 0.052404, 	0.25, 1, 		0.2513, 0, 0.9679, 
-0.007196, 0.036399, 0.052404, 	0.25, 1, 		0.2513, 0, 0.9679, 

0.04271, 0.036399, -0.032498, 	0.625, 1, 		0.9679, 0, -0.2513, 
0.052961, 0.05101, 0.006986, 	0.5, 1, 		0.9679, 0, -0.2513, 
0.052961, 0.036399, 0.006986, 	0.5, 1, 		0.9679, 0, -0.2513, 
-0.031942, 0.036399, -0.04292, 	0.875, 1, 		-0.2513, 0, -0.9679, 
0.007543, 0.05101, -0.05317, 	0.75, 1, 		-0.2513, 0, -0.9679, 
0.007543, 0.036399, -0.05317, 	0.75, 1, 		-0.2513, 0, -0.9679, 

-0.067625, 0.057162, -0.009848, 	1, 1, 		-0.8621, 0, -0.5067, 
-0.041075, 0.072541, -0.055016, 	0.875, 1, 		-0.8621, 0, -0.5067, 
-0.041075, 0.057162, -0.055016, 	0.875, 1, 		-0.8621, 0, -0.5067, 
0.04271, 0.05101, -0.032498, 	0.625, 1, 		0.3001, -0.9266, -0.2266, 
0.067972, 0.057162, 0.009082, 	0.5, 1, 		0.3725, -0.9266, 0.052, 
0.052961, 0.05101, 0.006986, 	0.5, 1, 		0.3725, -0.9266, 0.052, 

-0.031942, 0.05101, -0.04292, 	0.875, 1, 		-0.2266, -0.9266, -0.3001, 
0.009638, 0.057162, -0.068182, 	0.75, 1, 		0.052, -0.9266, -0.3725, 
0.007543, 0.05101, -0.05317, 	0.75, 1, 		0.052, -0.9266, -0.3725, 
